pincode,code,type,type_encode,rent_per_sqft,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name,pincode_population,area_km2,population_density,male_population,female_population,state_gdp,state_population,pincode_gdp
201007,U30,Branch,1,30.63,GHAZIABAD,UTTAR PRADESH,28.67838605,77.37473742,0.0,3.607085398552704,Hindon AFS (VIDX),79576.0,6.64,11984.33734939759,42350.0,37226.0,25479.0,225257355.0,9.000891020850352
201301,N30,Branch,1,44.2,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,28.579201,77.324242,1.0,11.5798748103072,Safdarjung Airport (VIDD),325356.0,26.69,12190.18358935931,176123.0,149233.0,25479.0,225257355.0,36.80122020433029
201304,N31,Branch,1,27.56,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,28.494211,77.414254,0.0,22.702736049673977,Safdarjung Airport (VIDD),307949.0,69.98,4400.52872249214,166248.0,141701.0,25479.0,225257355.0,34.832303571175295
201305,N42,Branch,1,83.33,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,28.539212,77.406374,0.0,19.299565374725027,Hindon AFS (VIDX),197169.0,104.86,1880.3070761014687,105995.0,91174.0,25479.0,225257355.0,22.30190863690111
201306,N32,Branch,1,29.51,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,28.531767,77.434227,0.0,20.898951108834353,Hindon AFS (VIDX),143007.0,89.45,1598.7367244270542,77006.0,66001.0,25479.0,225257355.0,16.17561101611976
202001,U16,Branch,1,23.28,ALIGARH,UTTAR PRADESH,27.9135016,78.0781901,1.0,8.934425275513638,Dhanipur Airstrip (VIAH),707829.0,87.7,8071.026225769669,375090.0,332739.0,25479.0,225257355.0,80.06297992356343
203001,U145,Branch,1,25.65,BULANDSHAHR,UTTAR PRADESH,28.4024615,77.7975797,1.0,54.659815946313785,Hindon AFS (VIDX),532616.0,337.13,1579.8534689882242,280744.0,251872.0,25479.0,225257355.0,60.24452814870351
206122,U83,Branch,1,7.24,AURAIYA,UTTAR PRADESH,26.4707266,79.5714855,1.0,66.05283770229073,Kalyanpur Airport,242603.0,332.16,730.3799373795761,130304.0,112299.0,25479.0,225257355.0,27.440976730815297
208011,U40,Branch,1,25.03,KANPUR NAGAR,UTTAR PRADESH,26.43044,80.32313,0.0,4.269427335525002,Kanpur Airport (KNU/VIKA),323339.0,24.04,13450.041597337771,173793.0,149546.0,25479.0,225257355.0,36.573076075584744
208021,U03,Branch,1,20.32,KANPUR NAGAR,UTTAR PRADESH,26.39973,80.31465,0.0,6.744575322545925,Kanpur Airport (KNU/VIKA),205839.0,70.3,2928.0085348506404,110638.0,95201.0,25479.0,225257355.0,23.28257774757233
