name,lat,lon
NSG Heliport,28.35032654,76.95729828
Nuagaon Airport,20.51169968,83.44809723
Ojhar AFS (VAOZ),20.11910057,73.91290283
Ondwa Airport,25.14150047,74.6115036
ONGC Helipad,18.86353111,72.92385864
OP Jindal University Heliport,28.92391777,77.05783844
Osmanabad Airport,18.28123665,76.05776978
Ozarde Maval Helipad,18.70590591,73.60285187
Pakyong Airport (PYG/VEPY),27.23221588,88.58827209
Panagarh AFS (VEPH),23.47430038,87.42749786
Pandaveswar Airfield,23.63815498,87.34958649
Panthakot AFS (IXP/VIPK),32.23379898,75.63459778
Pantnagar Airport (PGH/VIPT),29.03339958,79.47370148
PAP Complex Heliport,31.29208374,75.60720062
Pasighat Airport (IXT/VEPG),28.06594849,95.33654022
Patiala Airport (VIPL),30.31487465,76.36351776
Patna Airport (PAT/VEPT),25.59197617,85.09076691
Pedong Helipad,27.15593338,88.61064911
Pelling Helipad,27.30050087,88.23085022
Phadial Helipad,32.29463577,75.71740723
Phalodi AFS,27.10699844,72.21225739
Phalodi Airport,27.11289978,72.38899994
Phaphamau Air Base,25.54858971,81.88058472
Piardoba Airfield,22.98950768,87.29959869
Pilani New Airport,28.34880066,75.59369659
Pilibhit Helipad,28.6515274,79.82131195
Pithorgarh Airport (VIDF),29.59359932,80.23919678
Pondicherry Airport (PNY/VOTY),11.9684906,79.8128891
Poonch Helipad,33.77000809,74.08339691
Porbandar Airport (PBD/VAPR),21.64870071,69.65720367
Prayagraj Helipad,25.48650932,81.85043335
Pukpui Helipad,22.94226646,92.76885223
Pune Air Base,18.47303581,73.77944946
Raedhanpur AFS,23.22229958,68.89129639
Raichur Helipad,16.27719307,77.35541534
Raigarh Airport (JSPL),21.93667221,83.3454895
Rainawari Barracks Helipad,34.06001282,74.85629272
Raipur Airport (RPR/VARP),21.18040085,81.73880005
Raipur University Helipad,21.24826622,81.59983826
Raj Bhavan Helipad,18.94264984,72.79401398
Rajahmundry Airport (RJA/VORY),17.10982513,81.81871033
Rajkot Airport (RAJ/VARK),22.30920029,70.77950287
Rajouri Airport (RJI),33.37789917,74.31520081
Ranchi Airport (IXR/VERC),23.31430054,85.32170105
Rangapahar AFS,25.85531235,93.70649719
Rangeilunda Airfield,19.29797363,84.87696838
Raniganj AFS,23.5942421,87.22434235
Rasgovindpur Airstrip,21.80508995,87.04690552
Ratlam Airport,23.38139915,75.02559662
Ratnagiri Airport (RTC/VARG),17.0135994,73.32779694
Raxaul Airport (VERL),26.99656868,84.82046509
Rewa Helipad,24.55497169,81.29534912
Rourkela Airport (RRK/VERK),22.25670052,84.81459808
Rupsi Airport (RUP/VERU),26.13969994,89.91000366
Safdarjung Airport (VIDD),28.58449936,77.20580292
Sagar Helipad,23.84256363,78.79357147
Saiha Helipad,22.48826981,92.9871521
Salem Airport (SXV/VOSM),11.7833004,78.06559753
Salua AFS,22.26011086,87.3069458
Salwas AFS,26.14164734,73.09706116
Sarmat Range Helipad,22.46637917,69.94553375
Sarsawa AFS (VISP),29.9939003,77.4253006
Satara Sainik School Helipad,17.6911602,74.01886749
Satna Airport (TNI/PGWT),24.56229973,80.85489655
Serchhip Helipad,23.32875061,92.85606384
Sevoke Road Heliport,26.77440071,88.45231628
Shahpur Kandi Helipad,32.37793732,75.68100739
Sheeri Police Helipad,34.19104767,74.30138397
Shekh Pora Heliport,34.0151825,74.75485992
Shibpur Airstrip,13.23631668,93.04972839
Shikra Naval Helibase,18.91334534,72.82920837
Shillong Airport (SHL/VEBI),25.70344543,91.97756195
Shillong Helipad,25.54371262,91.87498474
Shimla Airport (SLV/VISM),31.08180046,77.06800079
Shirpur Airport,21.3239994,74.9567337
Shri Guru Ram Rai University Helipad,30.30297279,78.03150177
Siachen Glacier AFS,35.5,77
Sidhi Airport,24.40229988,81.81479645
Sido Kanhu Airfield,24.23107529,87.26964569
Sindhudurg Airport,16.00254822,73.52931213
Sirohi Airport,24.89509964,72.84590149
Sirsa AFS (VISA),29.56060028,75.00610352
Solapur Airport (SSE/VASL),17.62800026,75.93479919
Sonari Airport (IXW/VEJS),22.8132,86.16880035
Sonipat Police Line Helipad,29.00488281,77.0018158
Sookerating Airport,27.55290031,95.57060242
Sri Ganganagar Helipad,29.9514389,73.9009552
Srinagar AFS (SXR/VISR),33.9888382,74.77190399
STC BSF Helipad,24.32670021,93.67546844
Sultanpur,26.24749947,82.04250336
Surat Airport (STV/VASU),21.1140995,72.7417984
Suratgarh Air Force Station,29.38780022,73.90390015
SVP University Helipad,29.08607674,77.6973114
Tadepallegudem Airfield,16.83304405,81.53082275
Tambaram AFS (VOTX),12.90719986,80.12190247
Tarpura Airfield,27.7299118,75.24085999
Tawang AFS,27.58869934,91.87774658
Tezpur AFS (TEZ/VETZ),26.70549774,92.77959442
Tezpur Helipad,26.6570282,92.78842926
Tezu Airport (TEI/VETJ),27.94120026,96.13439941
Thane West Helipad,19.23908615,72.98768616
Thanjavur AFS (TJV/VOTJ),10.72113514,79.10292816
Thanjavur Helipad,10.75276184,79.1114502
Thoise Airport,34.65259933,77.37580109
Thuampui Helipad,23.74586678,92.73673248
Thuniabhand Airport,22.00160027,78.91719818
Tikhri Army Heliport,32.89547348,75.09400177
Tiruchirapalli international Airport (TRZ/VOTR),10.76607895,78.71650696
Tirupati Airport (TIR/VOTP),13.63249969,79.54329681
Trivandrum International Airport (TRV/VOTV),8.48333645,76.9187088
Tulihal Airport (IMF/VEIM),24.76038933,93.89777374
Tumkur Heliport,13.32379913,76.80702972
Tuticorin Southwest Airport,8.72292519,78.02657318
Udaipur Airport (UDR/VAUD),24.61770058,73.89610291
Udhampur AFS (VIUX),32.90219879,75.15619659
Ujjain Police Helipad,23.15309525,75.80857849
Ulundurpet Airstrip,11.68854904,79.32137299
Umaria Air Field,23.53251457,80.80821991
Upper Tadong Helipad,27.30671692,88.59964752
Utkela Airport (VEUK),20.09740067,83.18379974
Uttarlai AFS (VIUT),25.81299973,71.4822998
Vadodara Airport (BDQ/VABO),22.33722305,73.22721863
Vadsar AFS,23.14517403,72.48129272
Vairengte Helipad,24.47891617,92.75393677
Varanasi Airport (VNS/VIBN),25.45194435,82.85972595
Varanasi Police Helipad,25.3481884,82.98752594
Vellore Airport (VOVR),12.90880013,79.06680298
Vijay Nagar Airport,19.88409996,73.84056854
Vijayawada Airport (VGA/VOBZ),16.53039932,80.79679871
Vijaynagar ALG,27.19382858,97.00275421
Vir Savarkar Airport (IXZ/VOPB),11.6416626,92.7300415
Visakhapatnam Airport (VTZ/VEVZ),17.72120094,83.22450256
Walong Advanced Landing Ground,28.129673,97.01966095
Warangal Airport (WGC/VOWA),17.9144001,79.60220337
Yelahanka AFS (VOYK),13.13549995,77.60600281
Zakhama Helipad,25.59746361,94.12248993
Ziro Airport (ZER/VEZO),27.5883007,93.82810211
