pincode,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name
523302,Bapatla,ANDHRA PRADESH,16.1262370,79.9091310,0,56.2613168092022,Dunakonda Airport (VODK)
523225,PRAKASAM,ANDHRA PRADESH,15.5119830,79.8730840,0,54.02773279116736,Dunakonda Airport (VODK)
523264,PRAKASAM,ANDHRA PRADESH,15.7531020,79.8676530,0,41.53050002950846,Dunakonda Airport (VODK)
523263,Bapatla,ANDHRA PRADESH,15.7091290,79.9441370,0,50.606586278702416,Dunakonda Airport (VODK)
523186,Bapatla,ANDHRA PRADESH,15.7151710,80.1492120,0,39.97693842225188,Bapatla Helipad
523260,Bapatla,ANDHRA PRADESH,15.9288260,80.1107530,0,42.33071735314956,Bapatla Helipad
534342,WEST GODAVARI,ANDHRA PRADESH,16.9603000,81.7007000,0,20.829090538708552,Rajahmundry Airport (RJA/VORY)
534313,WEST GODAVARI,ANDHRA PRADESH,17.0194986,81.5635741,0,21.023496279595864,Tadepallegudem Airfield
534318,WEST GODAVARI,ANDHRA PRADESH,17.1727275,81.5919847,0,25.08572123149113,Rajahmundry Airport (RJA/VORY)
534316,WEST GODAVARI,ANDHRA PRADESH,17.2326278,79.1195654,0,59.92330633729216,Nadirgul Runway
534329,WEST GODAVARI,ANDHRA PRADESH,16.8572940,81.7088735,0,19.13971531025789,Tadepallegudem Airfield
534301,WEST GODAVARI,ANDHRA PRADESH,16.9132607,81.5839867,1,10.562346897527144,Tadepallegudem Airfield
506151,HANUMAKONDA,TELANGANA,17.9379139,79.4502193,0,16.290625613324657,Warangal Airport (WGC/VOWA)
534315,WEST GODAVARI,ANDHRA PRADESH,17.2369343,81.5779817,0,29.220118506568195,Rajahmundry Airport (RJA/VORY)
534302,WEST GODAVARI,ANDHRA PRADESH,16.8933179,81.7027420,0,19.48355508760259,Tadepallegudem Airfield
534305,WEST GODAVARI,ANDHRA PRADESH,16.9710530,81.5182971,0,15.403648368072057,Tadepallegudem Airfield
506224,SIDDIPET,TELANGANA,17.8697841,78.9914388,0,60.65443374070384,Hakimpet AFS (VOHK)
534341,WEST GODAVARI,ANDHRA PRADESH,17.1192695,81.6164118,0,21.524106200413083,Rajahmundry Airport (RJA/VORY)
534340,WEST GODAVARI,ANDHRA PRADESH,17.0640872,81.6593920,0,17.68068691354169,Rajahmundry Airport (RJA/VORY)
534111,WEST GODAVARI,ANDHRA PRADESH,16.9581027,81.4598558,0,15.823542392884281,Tadepallegudem Airfield
